,start_date,start_station_code,end_date,end_station_code,duration_sec,is_member,dow,day_count_year,day_count_ref
40925,2014-04-23 08:29:00,6184,2014-04-23 08:48:00,6085,1186,1,0.0,113,113
62124,2014-04-25 11:35:00,6184,2014-04-25 11:54:00,6085,1140,1,0.0,115,115
71275,2014-04-26 03:14:00,6184,2014-04-26 03:30:00,6085,940,1,0.0,116,116
91092,2014-04-29 07:47:00,6184,2014-04-29 08:08:00,6085,1263,1,0.0,119,119
103826,2014-04-30 08:37:00,6184,2014-04-30 08:56:00,6085,1150,1,0.0,120,120
64002,2014-05-07 08:33:00,6184,2014-05-07 08:54:00,6085,1292,1,0.0,127,127
79475,2014-05-08 07:51:00,6184,2014-05-08 08:12:00,6085,1259,1,0.0,128,128
81497,2014-05-08 09:10:00,6184,2014-05-08 09:39:00,6085,1774,1,0.0,128,128
91369,2014-05-08 18:40:00,6184,2014-05-08 19:01:00,6085,1285,1,0.0,128,128
97372,2014-05-09 08:23:00,6184,2014-05-09 08:41:00,6085,1098,1,0.0,129,129
155942,2014-05-13 07:51:00,6184,2014-05-13 08:11:00,6085,1232,1,0.0,133,133
173118,2014-05-14 08:38:00,6184,2014-05-14 08:58:00,6085,1207,1,0.0,134,134
227566,2014-05-18 02:13:00,6184,2014-05-18 02:38:00,6085,1524,1,0.0,138,138
227567,2014-05-18 02:13:00,6184,2014-05-18 02:38:00,6085,1525,1,0.0,138,138
256943,2014-05-20 07:58:00,6184,2014-05-20 08:18:00,6085,1206,1,0.0,140,140
261527,2014-05-20 12:21:00,6184,2014-05-20 12:41:00,6085,1177,1,0.0,140,140
297642,2014-05-22 08:21:00,6184,2014-05-22 08:38:00,6085,1066,1,0.0,142,142
311505,2014-05-23 08:29:00,6184,2014-05-23 08:47:00,6085,1073,1,0.0,143,143
385017,2014-05-28 08:27:00,6184,2014-05-28 08:50:00,6085,1359,1,0.0,148,148
400777,2014-05-29 08:26:00,6184,2014-05-29 08:48:00,6085,1356,1,0.0,149,149
434684,2014-05-30 20:20:00,6184,2014-05-30 20:48:00,6085,1688,0,0.0,150,150
20380,2014-06-02 08:28:00,6184,2014-06-02 08:49:00,6085,1227,1,0.0,153,153
39216,2014-06-03 07:43:00,6184,2014-06-03 08:01:00,6085,1119,1,0.0,154,154
40082,2014-06-03 08:13:00,6184,2014-06-03 08:36:00,6085,1395,1,0.0,154,154
55338,2014-06-04 09:06:00,6184,2014-06-04 09:27:00,6085,1289,1,0.0,155,155
66526,2014-06-04 18:18:00,6184,2014-06-04 18:39:00,6085,1246,1,0.0,155,155
71941,2014-06-05 07:25:00,6184,2014-06-05 07:44:00,6085,1113,1,0.0,156,156
74630,2014-06-05 08:56:00,6184,2014-06-05 09:17:00,6085,1217,1,0.0,156,156
186043,2014-06-11 08:14:00,6184,2014-06-11 08:34:00,6085,1211,1,0.0,162,162
242898,2014-06-15 20:24:00,6184,2014-06-15 20:42:00,6085,1081,1,0.0,166,166
266794,2014-06-17 07:46:00,6184,2014-06-17 08:07:00,6085,1226,1,0.0,168,168
287031,2014-06-18 08:16:00,6184,2014-06-18 08:36:00,6085,1205,1,0.0,169,169
307641,2014-06-19 07:45:00,6184,2014-06-19 08:03:00,6085,1116,1,0.0,170,170
331167,2014-06-20 07:42:00,6184,2014-06-20 08:01:00,6085,1146,1,0.0,171,171
410724,2014-06-25 08:39:00,6184,2014-06-25 08:59:00,6085,1171,1,0.0,176,176
425972,2014-06-25 22:33:00,6184,2014-06-25 22:58:00,6085,1518,1,0.0,176,176
433598,2014-06-26 12:01:00,6184,2014-06-26 12:20:00,6085,1128,1,0.0,177,177
451414,2014-06-27 07:45:00,6184,2014-06-27 08:07:00,6085,1311,1,0.0,178,178
466410,2014-06-27 18:53:00,6184,2014-06-27 19:24:00,6085,1833,0,0.0,178,178
18592,2014-07-02 08:09:00,6184,2014-07-02 08:30:00,6085,1241,1,0.0,183,183
114675,2014-07-07 08:09:00,6184,2014-07-07 08:32:00,6085,1362,1,0.0,188,188
126992,2014-07-08 07:48:00,6184,2014-07-08 08:10:00,6085,1307,1,0.0,189,189
