id,sup,tot,ht_h,ht_a,ft_h,ft_a
0,-0.19,3.37,1,0,1,1
1,0.24,2.36,3,0,5,0
2,0.72,2.81,2,1,3,1
3,1.49,2.97,0,0,0,2
4,-0.32,2.5,1,2,1,2
5,1,2.77,2,0,2,0
6,0.62,2.63,1,0,2,0
7,0.86,3.35,1,0,2,0
8,-0.61,3.25,1,0,1,0
9,1.27,2.72,1,0,4,0
10,0.57,2.72,0,0,2,1
11,-0.1,2.51,0,0,0,1
12,0.53,2.84,0,0,3,1
13,0.83,2.74,0,0,1,2
14,-0.48,2.24,1,0,1,0
15,0.75,2.39,0,0,1,0
16,-0.22,2.45,0,1,1,3
17,0.01,2.46,0,0,0,0
18,2,2.77,1,0,2,0
19,0.82,2.54,0,0,0,0
20,0.14,2.1,0,0,0,0
21,-0.47,2.48,0,3,1,3
22,0.89,2.77,1,0,3,1
23,-0.24,2.44,0,1,1,2
24,0.26,3.34,0,0,0,0
25,0.19,2.67,0,1,1,1
26,0.46,2.34,0,0,0,1
27,-0.55,2.7,1,0,4,2
28,-0.19,2.75,3,1,3,2
29,0.8,2.22,0,0,2,0
30,0.74,2.91,1,0,2,0
31,0.22,2.63,1,0,1,0
32,0.01,2.71,0,1,1,4
33,0.39,3.05,2,0,2,1
34,-0.73,2.81,0,1,0,2
35,0.37,2.79,0,0,0,0
36,-0.62,3.08,1,0,1,1
37,1.62,3.08,4,0,5,1
38,-0.15,2.5,0,2,1,2
39,-0.42,2.49,0,1,0,2
40,0.94,3.03,1,2,4,3
41,1.12,2.86,1,0,3,0
42,-0.18,2.6,0,0,0,1
43,-0.75,3.18,0,1,0,2
44,-0.11,2.98,1,2,4,4
45,-1.15,2.33,0,0,0,0
46,-1.39,3.04,0,1,0,2
47,-0.1,2.64,1,0,2,2
48,0.41,2.83,1,0,2,0
49,-0.41,2.64,1,2,1,3
50,1.13,2.91,0,0,0,0
51,0.79,2.95,0,1,2,2
52,1.8,3.08,1,0,3,1
53,0.58,2.78,0,2,0,3
54,0.94,3.14,0,0,0,0
55,0.11,3.1,0,0,2,0
56,-0.03,2.86,0,2,4,2
57,-0.93,2.49,0,1,2,2
58,0.37,2.95,2,0,4,1
59,1.25,2.76,1,0,3,0
60,-0.05,2.67,0,3,1,6
61,1.39,3.33,0,0,3,0
